"HAUL_ID","OPERATION_ID","CRUISE_ID","CRUISE_LEG_ID","HAUL","STRATUM_ID","STATION_ID","NET_NUMBER","FOOTROPE_NUMBER","PORT_DOOR_NUMBER","STARBOARD_DOOR_NUMBER","SKIPPER_PERSONNEL_ID","AUTOTRAWL_METHOD","HAUL_TYPE","PERFORMANCE","BOTTOM_TYPE","BOTTOM_TYPE_METHOD","STEEPNESS","STEEPNESS_METHOD","START_TIMELOG","END_TIMELOG","DISTANCE_FISHED","DISTANCE_FISHED_METHOD","DOOR_SPREAD","DOOR_SPREAD_METHOD","DOOR_SPREAD_PINGS","DOOR_SPREAD_STANDARD_DEVIATION","NET_SPREAD","NET_SPREAD_METHOD","NET_SPREAD_PINGS","NET_SPREAD_STANDARD_DEVIATION","NET_HEIGHT","NET_HEIGHT_METHOD","NET_HEIGHT_PINGS","NET_HEIGHT_STANDARD_DEVIATION","GEAR_DEPTH","GEAR_DEPTH_METHOD","BOTTOM_DEPTH","BOTTOM_DEPTH_METHOD","WIRE_OUT","WIRE_OUT_METHOD","GEAR","ACCESSORIES","BOTTOM_CONTACT_METHOD","SURFACE_TEMPERATURE","SURFACE_TEMPERATURE_METHOD","GEAR_TEMPERATURE","GEAR_TEMPERATURE_METHOD","WIND_SPEED","WIND_SPEED_METHOD","WIND_DIRECTION","WIND_DIRECTION_METHOD","WAVE_HEIGHT","WAVE_HEIGHT_METHOD","WAVE_DIRECTION","WAVE_DIRECTION_METHOD","SWELL_HEIGHT","SWELL_HEIGHT_METHOD","SWELL_DIRECTION","SWELL_DIRECTION_METHOD","CURRENT_SPEED","CURRENT_SPEED_METHOD","CURRENT_DIRECTION","CURRENT_DIRECTION_METHOD","RECORDER_PERSONNEL_ID","TIME_ZONE","TOTAL_HAUL_WEIGHT","HAUL_CATCH_SAMPLE_METHOD","SPEED_METHOD","STRATUM","STATION","EDIT_DISTANCE_FISHED","EDIT_DISTANCE_FISHED_UNITS","EDIT_DOOR_SPREAD","EDIT_DOOR_SPREAD_UNITS","EDIT_NET_SPREAD","EDIT_NET_SPREAD_UNITS","EDIT_NET_HEIGHT","EDIT_NET_HEIGHT_UNITS","EDIT_GEAR_DEPTH","EDIT_GEAR_DEPTH_UNITS","EDIT_BOTTOM_DEPTH","EDIT_BOTTOM_DEPTH_UNITS","EDIT_WIRE_OUT","EDIT_WIRE_OUT_UNITS","EDIT_SURFACE_TEMPERATURE","EDIT_SURFACE_TEMPERATURE_UNITS","EDIT_GEAR_TEMPERATURE","EDIT_GEAR_TEMPERATURE_UNITS","EDIT_WIND_SPEED","EDIT_WIND_SPEED_UNITS","EDIT_WAVE_HEIGHT","EDIT_WAVE_HEIGHT_UNITS","EDIT_SWELL_HEIGHT","EDIT_SWELL_HEIGHT_UNITS","EDIT_CURRENT_SPEED","EDIT_CURRENT_SPEED_UNITS","EDIT_TOTAL_HAUL_WEIGHT_UNITS","EDIT_TOTAL_HAUL_WEIGHT","DATA_VERSION","CREATE_DATE","CREATED_BY","LOAD_ID","RECORD_SOURCE_ID","DAY_NIGHT_FLAG","TARGET_DEPTH","EDIT_TARGET_DEPTH","EDIT_TARGET_DEPTH_UNITS","DURATION","EDIT_DURATION","EDIT_DURATION_UNITS","ORIGINAL_RECORD_ID","RECORDERS_NAME","ABUNDANCE_HAUL"
19982,,751,519,74,,,17,17,2130,2130,929,,3,0,,,,,3,7,2.995,1,,,,,18.5277,4,0,0,1.848,6,582,0.14,118,4,120,5,365.76,5,44,15,5,7.11,14,4.19,6,10,4,210,2,1,2,210,2,3,2,180,2,,,,,,-8,,1,11,50,"B-04",2.995,"KM",,"",18.5277,"M",1.848,"M",118,"M",120,"M",200,"FM",7.11,"C",4.19,"C",10,"KT",1,"FT",3,"FT",,"","",,2017.1,15-JUN-21,"Britt, Lyle",1453,11,"",,,"",,,"",12426,"Britt, Lyle","Y"
19983,,751,519,75,,,17,17,2130,2130,929,,3,0,,,,,3,7,3.02,1,,,,,18.707,4,46,0.535,2.049,6,175,0.7,127,4,129,5,411.48,5,44,15,5,6.81,14,4.24,6,10,4,225,2,1,2,225,2,3,2,180,2,,,,,,-8,1190,2,11,50,"A-04",3.02,"KM",,"",18.707,"M",2.049,"M",127,"M",129,"M",225,"FM",6.81,"C",4.24,"C",10,"KT",1,"FT",3,"FT",,"","KG",1190,2017.1,15-JUN-21,"Britt, Lyle",1453,11,"",,,"",,,"",12427,"Britt, Lyle","Y"
19984,,751,520,76,,,17,17,2130,2130,929,,3,0,,,,,3,7,2.847,1,,,,,18.7134,4,14,0.79,1.855,6,785,0.27,146,4,148,5,457.2,5,44,15,5,,,3.99,6,5,4,45,2,0,2,-2,2,1,2,90,2,,,,,,-8,,1,11,50,"B-01",2.847,"KM",,"",18.7134,"M",1.855,"M",146,"M",148,"M",250,"FM",,"C",3.99,"C",5,"KT",0,"FT",1,"FT",,"","",,2017.1,19-JUN-21,"Haehn, Rebecca",1454,11,"",,,"",,,"",12428,"Haehn, Rebecca","Y"
19986,,751,520,78,,,17,17,2130,2130,929,,3,0,,,,,3,7,2.875,1,,,,,18.4982,4,1,0,1.711,6,408,0.14,131,4,133,5,411.48,5,44,15,5,8.81,14,4.28,6,10,4,0,2,1,2,22,2,1,2,20,2,,,,,,-8,,1,11,50,"D-01",2.875,"KM",,"",18.4982,"M",1.711,"M",131,"M",133,"M",225,"FM",8.81,"C",4.28,"C",10,"KT",1,"FT",1,"FT",,"","",,2017.1,19-JUN-21,"Haehn, Rebecca",1454,11,"",,,"",,,"",12430,"Haehn, Rebecca","Y"
20001,,751,520,93,,,17,17,2130,2130,929,,3,0,,,,,3,7,2.987,1,,,,,14.8798,4,26,2.36,2.69,4,175,0.51,29,4,33,5,137.16,5,44,15,5,5.93,14,4.35,6,15,4,90,2,2,2,90,2,3,2,90,2,,,,,,-8,2712,2,11,20,"N-02",2.987,"KM",,"",14.8798,"M",2.69,"M",29,"M",33,"M",75,"FM",5.93,"C",4.35,"C",15,"KT",2,"FT",3,"FT",,"","KG",2712,2017.1,22-JUN-21,"Haehn, Rebecca",1457,11,"",,,"",,,"",12445,"Haehn, Rebecca","Y"
20060,,751,520,96,,,16,16,2130,2130,929,,3,0,,,,,3,7,2.93,1,,,,,14.8798,4,18,2.21,2.69,4,29,0.71,22,4,26,5,137.16,5,44,15,5,5.17,14,5.05,6,15,4,0,2,3,2,0,2,4,2,0,2,,,,,,-8,,1,11,20,"P-01",2.93,"KM",,"",14.8798,"M",2.69,"M",22,"M",26,"M",75,"FM",5.17,"C",5.05,"C",15,"KT",3,"FT",4,"FT",,"","",,2017.1,23-JUN-21,"Haehn, Rebecca",1459,11,"",,,"",,,"",12448,"Haehn, Rebecca","Y"
20188,,751,520,124,,,16,16,2130,2130,929,,3,0,,,,,3,7,2.721,1,,,,,18.0497,4,0,0,2.361,6,316,0.11,70,4,72,5,274.32,5,44,15,5,7.79,14,3.93,6,15,4,45,2,2,2,90,2,5,2,45,2,,,,,,-8,,1,11,42,"I-21",2.721,"KM",,"",18.0497,"M",2.361,"M",70,"M",72,"M",150,"FM",7.79,"C",3.93,"C",15,"KT",2,"FT",5,"FT",,"","",,2017.1,30-JUN-21,"Haehn, Rebecca",1471,11,"",,,"",,,"",12476,"Haehn, Rebecca","Y"
20189,,751,520,125,,,16,16,2130,2130,929,,3,0,,,,,3,7,2.734,1,,,,,17.4416,4,17,1.19,2.555,6,1251,0.13,70,4,73,5,228.6,5,44,15,5,7.78,14,3.66,6,15,4,90,2,2,2,20,2,5,2,45,2,,,,,,-8,,1,11,42,"JI2120",2.734,"KM",,"",17.4416,"M",2.555,"M",70,"M",73,"M",125,"FM",7.78,"C",3.66,"C",15,"KT",2,"FT",5,"FT",,"","",,2017.1,01-JUL-21,"Haehn, Rebecca",1471,11,"",,,"",,,"",12477,"Haehn, Rebecca","Y"
20191,,751,520,127,,,15,15,2130,2130,929,,3,0,,,,,3,7,2.786,1,,,,,18.0907,4,16,0.68,2.238,6,413,0.14,72,4,74,5,274.32,5,44,15,5,8.16,14,3.4,6,20,4,90,2,2,2,112,2,5,2,90,2,,,,,,-8,,1,11,41,"K-21",2.786,"KM",,"",18.0907,"M",2.238,"M",72,"M",74,"M",150,"FM",8.16,"C",3.4,"C",20,"KT",2,"FT",5,"FT",,"","",,2017.1,01-JUL-21,"Haehn, Rebecca",1471,11,"",,,"",,,"",12479,"Haehn, Rebecca","Y"
20194,,751,520,130,,,15,15,2130,2130,929,,3,0,,,,,3,7,2.871,1,,,,,17.4644,4,17,0.67,2.525,6,928,0.1,65,4,68,5,228.6,5,44,15,5,7.43,14,3.72,6,15,4,90,2,2,2,67,2,5,2,135,2,,,,,,-8,,1,11,41,"N-21",2.871,"KM",,"",17.4644,"M",2.525,"M",65,"M",68,"M",125,"FM",7.43,"C",3.72,"C",15,"KT",2,"FT",5,"FT",,"","",,2017.1,02-JUL-21,"Haehn, Rebecca",1472,11,"",,,"",,,"",12482,"Haehn, Rebecca","Y"
