ID,HAUL_ATTRIBUTE_ID,HAUL_ID,ATSEA_ATTRIBUTE_ID,ATTRIBUTE_NAME,ATTRIBUTE_CODE,ATTRIBUTE_VALUE,ATTRIBUTE_UNITS,ATTRIBUTE_NOTES,DATABASE_STATUS,RECORDING_DEVICE,STATUS_TIMESTAMP,RECORDER,RECORD_TIMESTAMP
247,247,264,4,"LOAD_CELL_WEIGHT",,"1752.0","KG",,0,"fce7e11b983fefbb","08/15/2019 08:37:18","Dawson, Liz","08/15/2019 08:37:18"
248,248,264,5,"TARE_WEIGHT",,"236.0","KG",,0,"fce7e11b983fefbb","08/15/2019 08:37:18","Dawson, Liz","08/15/2019 08:37:18"
