HAUL,POLY_SPECIES_CODE,SEX,LENGTH,LENGTH_TYPE,POLY_NUMBER,TABLET_ID
40,12,1,350,1,10,VESTERAALEN 2
40,12,1,280,1,10,VESTERAALEN 2
40,12,1,380,1,10,VESTERAALEN 2
40,12,1,300,1,10,VESTERAALEN 2
40,12,1,310,1,10,VESTERAALEN 2
40,12,1,200,1,10,VESTERAALEN 2
40,12,1,320,1,10,VESTERAALEN 2
40,12,1,290,1,10,VESTERAALEN 2
40,12,1,310,1,10,VESTERAALEN 2
40,12,1,310,1,10,VESTERAALEN 2
40,12,1,270,1,10,VESTERAALEN 2
40,12,1,370,1,10,VESTERAALEN 2
40,12,1,250,1,10,VESTERAALEN 2
40,12,1,300,1,10,VESTERAALEN 2
40,12,1,210,1,10,VESTERAALEN 2
40,12,1,220,1,10,VESTERAALEN 2
40,12,1,230,1,10,VESTERAALEN 2
40,12,1,290,1,10,VESTERAALEN 2
40,12,1,340,1,10,VESTERAALEN 2
40,12,1,210,1,10,VESTERAALEN 2
40,12,1,210,1,10,VESTERAALEN 2
40,12,1,190,1,10,VESTERAALEN 2
40,12,1,280,1,10,VESTERAALEN 2
40,12,1,330,1,10,VESTERAALEN 2
40,12,1,270,1,10,VESTERAALEN 2
40,12,1,430,1,10,VESTERAALEN 2
40,12,1,220,1,10,VESTERAALEN 2
40,12,1,300,1,10,VESTERAALEN 2
40,12,1,280,1,10,VESTERAALEN 2
40,12,1,270,1,10,VESTERAALEN 2
40,12,1,280,1,10,VESTERAALEN 2
40,12,1,350,1,10,VESTERAALEN 2
40,12,1,290,1,10,VESTERAALEN 2
40,12,1,350,1,10,VESTERAALEN 2
40,12,1,380,1,10,VESTERAALEN 2
40,12,1,220,1,10,VESTERAALEN 2
40,12,1,210,1,10,VESTERAALEN 2
40,12,1,200,1,10,VESTERAALEN 2
40,12,1,150,1,10,VESTERAALEN 2
40,12,1,160,1,10,VESTERAALEN 2
40,12,1,130,1,10,VESTERAALEN 2
40,12,1,200,1,10,VESTERAALEN 2
40,12,1,170,1,10,VESTERAALEN 2
40,12,1,200,1,10,VESTERAALEN 2
40,12,1,290,1,10,VESTERAALEN 2
40,12,1,270,1,10,VESTERAALEN 2
40,12,1,320,1,10,VESTERAALEN 2
40,12,1,290,1,10,VESTERAALEN 2
40,12,1,210,1,10,VESTERAALEN 2
40,12,1,310,1,10,VESTERAALEN 2
40,12,1,170,1,10,VESTERAALEN 2
40,12,1,300,1,10,VESTERAALEN 2
40,12,1,290,1,10,VESTERAALEN 2
40,12,1,220,1,10,VESTERAALEN 2
40,12,1,300,1,10,VESTERAALEN 2
40,12,1,240,1,10,VESTERAALEN 2
