HAUL,POLY_SPECIES_CODE,SEX,LENGTH,LENGTH_TYPE,POLY_NUMBER,TABLET_ID
40,19,1,300,1,10,VESTERAALEN 1
40,19,1,280,1,10,VESTERAALEN 1
40,19,1,270,1,10,VESTERAALEN 1
40,19,1,310,1,10,VESTERAALEN 1
40,19,1,230,1,10,VESTERAALEN 1
40,19,1,320,1,10,VESTERAALEN 1
40,19,1,270,1,10,VESTERAALEN 1
40,19,1,280,1,10,VESTERAALEN 1
40,19,1,270,1,10,VESTERAALEN 1
40,19,1,310,1,10,VESTERAALEN 1
40,19,1,230,1,10,VESTERAALEN 1
40,19,1,290,1,10,VESTERAALEN 1
40,19,1,290,1,10,VESTERAALEN 1
40,19,1,330,1,10,VESTERAALEN 1
40,19,1,310,1,10,VESTERAALEN 1
40,19,1,290,1,10,VESTERAALEN 1
40,19,1,290,1,10,VESTERAALEN 1
40,19,1,320,1,10,VESTERAALEN 1
40,19,1,250,1,10,VESTERAALEN 1
40,19,1,310,1,10,VESTERAALEN 1
40,19,1,270,1,10,VESTERAALEN 1
40,19,1,250,1,10,VESTERAALEN 1
40,19,1,280,1,10,VESTERAALEN 1
40,19,1,260,1,10,VESTERAALEN 1
40,19,1,250,1,10,VESTERAALEN 1
40,19,1,320,1,10,VESTERAALEN 1
40,25,2,200,1,10,VESTERAALEN 1
40,25,2,170,1,10,VESTERAALEN 1
40,25,2,170,1,10,VESTERAALEN 1
40,25,2,180,1,10,VESTERAALEN 1
40,25,2,200,1,10,VESTERAALEN 1
40,25,2,180,1,10,VESTERAALEN 1
40,25,2,150,1,10,VESTERAALEN 1
40,25,2,160,1,10,VESTERAALEN 1
40,25,2,210,1,10,VESTERAALEN 1
40,25,2,160,1,10,VESTERAALEN 1
40,25,2,170,1,10,VESTERAALEN 1
40,25,2,170,1,10,VESTERAALEN 1
40,25,2,160,1,10,VESTERAALEN 1
40,25,2,180,1,10,VESTERAALEN 1
40,25,2,180,1,10,VESTERAALEN 1
40,25,2,180,1,10,VESTERAALEN 1
40,25,2,150,1,10,VESTERAALEN 1
40,25,2,180,1,10,VESTERAALEN 1
40,25,2,180,1,10,VESTERAALEN 1
40,25,2,190,1,10,VESTERAALEN 1
40,25,2,200,1,10,VESTERAALEN 1
40,25,2,170,1,10,VESTERAALEN 1
40,25,2,170,1,10,VESTERAALEN 1
40,25,2,130,1,10,VESTERAALEN 1
40,25,2,180,1,10,VESTERAALEN 1
40,25,2,150,1,10,VESTERAALEN 1
40,25,2,250,1,10,VESTERAALEN 1
40,25,2,170,1,10,VESTERAALEN 1
40,25,2,170,1,10,VESTERAALEN 1
40,25,2,160,1,10,VESTERAALEN 1
40,25,2,160,1,10,VESTERAALEN 1
40,25,2,160,1,10,VESTERAALEN 1
40,25,2,160,1,10,VESTERAALEN 1
40,25,2,170,1,10,VESTERAALEN 1
40,25,2,180,1,10,VESTERAALEN 1
40,25,1,160,1,10,VESTERAALEN 1
40,25,1,170,1,10,VESTERAALEN 1
40,25,1,160,1,10,VESTERAALEN 1
40,25,1,160,1,10,VESTERAALEN 1
40,25,1,180,1,10,VESTERAALEN 1
40,25,1,150,1,10,VESTERAALEN 1
40,25,1,180,1,10,VESTERAALEN 1
40,25,1,160,1,10,VESTERAALEN 1
40,25,1,130,1,10,VESTERAALEN 1
40,25,1,170,1,10,VESTERAALEN 1
40,25,1,150,1,10,VESTERAALEN 1
40,25,1,170,1,10,VESTERAALEN 1
40,25,1,170,1,10,VESTERAALEN 1
40,25,1,170,1,10,VESTERAALEN 1
40,25,1,150,1,10,VESTERAALEN 1
40,25,1,170,1,10,VESTERAALEN 1
40,25,1,170,1,10,VESTERAALEN 1
40,25,1,160,1,10,VESTERAALEN 1
40,25,1,160,1,10,VESTERAALEN 1
40,25,1,130,1,10,VESTERAALEN 1
40,25,1,150,1,10,VESTERAALEN 1
40,25,1,200,1,10,VESTERAALEN 1
40,25,1,150,1,10,VESTERAALEN 1
40,25,1,160,1,10,VESTERAALEN 1
