ID,HAUL_ID,VESSEL,CRUISE,HAUL,UNITS,SPECIES_CODE,SEX,LENGTH,LENGTH_TYPE,LENGTH_DEVICE,RECORDING_DEVICE,CREATE_DATE
6491,57,94,201901,59,"CM",21720,2,61,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:52:05"
6492,57,94,201901,59,"CM",21720,2,54,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:52:08"
6493,57,94,201901,59,"CM",21720,2,52,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:52:12"
6494,57,94,201901,59,"CM",21720,2,68,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:52:15"
6495,57,94,201901,59,"CM",21720,2,39,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:52:17"
6496,57,94,201901,59,"CM",21720,2,22,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:52:21"
6497,57,94,201901,59,"CM",21720,2,37,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:52:23"
6498,57,94,201901,59,"CM",21720,1,62,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:52:40"
6499,57,94,201901,59,"CM",21720,1,49,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:52:41"
6500,57,94,201901,59,"CM",21720,1,52,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:52:44"
6501,57,94,201901,59,"CM",21720,1,55,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:52:47"
6502,57,94,201901,59,"CM",21720,1,41,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:52:49"
6503,57,94,201901,59,"CM",21720,1,57,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:52:51"
6504,57,94,201901,59,"CM",21720,1,64,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:52:54"
6505,57,94,201901,59,"CM",21720,1,45,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:52:56"
6506,57,94,201901,59,"CM",21720,1,65,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:52:59"
6507,57,94,201901,59,"CM",21720,1,26,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:53:01"
6508,57,94,201901,59,"CM",21720,1,38,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:53:04"
6509,57,94,201901,59,"CM",10211,2,22,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:53:43"
6510,57,94,201901,59,"CM",10211,1,15,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:53:49"
6511,57,94,201901,59,"CM",10211,1,22,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:53:52"
6512,57,94,201901,59,"CM",10210,2,37,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:54:08"
6513,57,94,201901,59,"CM",10210,2,14,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:54:11"
6514,57,94,201901,59,"CM",10210,2,14,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:54:13"
6515,57,94,201901,59,"CM",10210,2,34,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:54:15"
6516,57,94,201901,59,"CM",10210,2,36,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:54:17"
6517,57,94,201901,59,"CM",10210,2,29,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:54:19"
6518,57,94,201901,59,"CM",10210,2,14,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:54:25"
6519,57,94,201901,59,"CM",10210,2,33,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:54:26"
6520,57,94,201901,59,"CM",10210,2,31,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:54:28"
6521,57,94,201901,59,"CM",10210,2,38,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:54:30"
6522,57,94,201901,59,"CM",10210,2,34,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:54:32"
6523,57,94,201901,59,"CM",10210,2,17,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:54:36"
6524,57,94,201901,59,"CM",10210,2,19,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:54:37"
6525,57,94,201901,59,"CM",10210,2,18,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:54:39"
6526,57,94,201901,59,"CM",10210,2,19,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:54:43"
6527,57,94,201901,59,"CM",10210,2,14,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:54:44"
6528,57,94,201901,59,"CM",10210,2,23,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:54:45"
6529,57,94,201901,59,"CM",10210,2,34,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:54:48"
6530,57,94,201901,59,"CM",10210,2,32,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:54:49"
6531,57,94,201901,59,"CM",10210,2,21,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:54:51"
6532,57,94,201901,59,"CM",10210,2,32,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:54:53"
6533,57,94,201901,59,"CM",10210,2,37,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:54:56"
6534,57,94,201901,59,"CM",10210,2,27,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:54:58"
6535,57,94,201901,59,"CM",10210,2,12,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:55:00"
6536,57,94,201901,59,"CM",10210,2,26,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:55:02"
6537,57,94,201901,59,"CM",10210,2,17,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:55:04"
6538,57,94,201901,59,"CM",10210,2,16,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:55:06"
6539,57,94,201901,59,"CM",10210,2,18,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:55:08"
6540,57,94,201901,59,"CM",10210,2,21,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:55:10"
6541,57,94,201901,59,"CM",10210,2,30,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:55:12"
6542,57,94,201901,59,"CM",10210,2,14,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:55:15"
6543,57,94,201901,59,"CM",10210,2,16,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:55:16"
6544,57,94,201901,59,"CM",10210,2,15,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:55:18"
6545,57,94,201901,59,"CM",10210,2,21,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:55:21"
6546,57,94,201901,59,"CM",10210,1,31,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:55:27"
6547,57,94,201901,59,"CM",10210,1,27,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:55:29"
6548,57,94,201901,59,"CM",10210,1,35,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:55:32"
6549,57,94,201901,59,"CM",10210,1,35,1,"HARDWARE DEVICE","1b30e64370caceb7","06/15/2019 10:56:01"
