ID,HAUL_ID,VESSEL,CRUISE,HAUL,UNITS,SPECIES_CODE,SEX,LENGTH,LENGTH_TYPE,LENGTH_DEVICE,RECORDING_DEVICE,CREATE_DATE
10060,55,94,201901,59,"CM",10210,1,35,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:54:53"
10061,55,94,201901,59,"CM",10210,1,30,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:54:55"
10062,55,94,201901,59,"CM",10210,1,19,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:54:59"
10063,55,94,201901,59,"CM",10210,1,18,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:55:00"
10064,55,94,201901,59,"CM",10210,1,35,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:55:01"
10065,55,94,201901,59,"CM",10210,1,28,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:55:03"
10066,55,94,201901,59,"CM",10210,1,32,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:55:05"
10067,55,94,201901,59,"CM",10210,1,31,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:55:11"
10068,55,94,201901,59,"CM",10210,1,31,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:55:14"
10069,55,94,201901,59,"CM",10210,1,35,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:55:16"
10070,55,94,201901,59,"CM",10210,1,26,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:55:17"
10071,55,94,201901,59,"CM",10210,1,33,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:55:20"
10072,55,94,201901,59,"CM",10210,1,22,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:55:21"
10073,55,94,201901,59,"CM",10210,1,29,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:55:23"
10074,55,94,201901,59,"CM",10210,1,30,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:55:26"
10075,55,94,201901,59,"CM",10210,1,31,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:55:30"
10076,55,94,201901,59,"CM",10210,1,17,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:55:31"
10077,55,94,201901,59,"CM",10210,1,22,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:55:32"
10078,55,94,201901,59,"CM",10210,1,28,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:55:33"
