ID,HAUL_ID,VESSEL,CRUISE,HAUL,UNITS,SPECIES_CODE,SEX,LENGTH,LENGTH_TYPE,LENGTH_DEVICE,RECORDING_DEVICE,CREATE_DATE
5767,55,94,201901,59,"CM",21740,2,60,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:53:59"
5768,55,94,201901,59,"CM",21740,2,55,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:54:03"
5769,55,94,201901,59,"CM",21740,2,55,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:54:07"
5770,55,94,201901,59,"CM",21740,2,52,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:54:10"
5771,55,94,201901,59,"CM",21740,2,64,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:54:15"
5772,55,94,201901,59,"CM",21740,2,54,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:54:17"
5773,55,94,201901,59,"CM",21740,2,55,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:54:19"
5774,55,94,201901,59,"CM",21740,2,53,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:54:22"
5775,55,94,201901,59,"CM",21740,2,59,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:54:24"
5776,55,94,201901,59,"CM",21740,2,54,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:54:27"
5777,55,94,201901,59,"CM",21740,2,56,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:54:30"
5778,55,94,201901,59,"CM",21740,2,56,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:54:34"
5779,55,94,201901,59,"CM",21740,2,54,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:54:37"
5780,55,94,201901,59,"CM",21740,2,54,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:54:40"
5781,55,94,201901,59,"CM",21740,2,53,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:54:43"
5782,55,94,201901,59,"CM",21740,2,53,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:54:45"
5783,55,94,201901,59,"CM",21740,2,60,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:54:49"
5784,55,94,201901,59,"CM",21740,2,59,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:55:00"
5785,55,94,201901,59,"CM",21740,2,54,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:55:03"
5786,55,94,201901,59,"CM",21740,2,57,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:55:06"
5787,55,94,201901,59,"CM",21740,2,61,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:55:08"
5788,55,94,201901,59,"CM",21740,2,52,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:55:13"
5789,55,94,201901,59,"CM",21740,2,56,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:55:17"
5790,55,94,201901,59,"CM",21740,2,57,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:55:20"
5791,55,94,201901,59,"CM",21740,2,63,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:55:23"
5792,55,94,201901,59,"CM",21740,2,50,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:55:26"
5793,55,94,201901,59,"CM",21740,2,66,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:55:28"
5794,55,94,201901,59,"CM",21740,2,55,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:55:31"
5795,55,94,201901,59,"CM",21740,2,52,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:55:37"
5796,55,94,201901,59,"CM",21740,2,66,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:55:40"
5797,55,94,201901,59,"CM",21740,2,59,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:55:43"
5798,55,94,201901,59,"CM",21740,2,56,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:55:46"
5799,55,94,201901,59,"CM",21740,2,60,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:55:49"
5800,55,94,201901,59,"CM",21740,2,59,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:55:52"
5801,55,94,201901,59,"CM",21740,1,57,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:56:16"
5802,55,94,201901,59,"CM",21740,1,50,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:56:21"
5803,55,94,201901,59,"CM",21740,1,64,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:56:23"
5804,55,94,201901,59,"CM",21740,1,53,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:56:27"
5805,55,94,201901,59,"CM",21740,1,52,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:56:30"
5806,55,94,201901,59,"CM",21740,1,55,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:56:35"
5807,55,94,201901,59,"CM",21740,1,53,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:56:37"
5808,55,94,201901,59,"CM",21740,1,56,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:56:40"
5809,55,94,201901,59,"CM",21740,1,54,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:56:47"
5810,55,94,201901,59,"CM",21740,1,56,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:56:49"
5811,55,94,201901,59,"CM",21740,1,53,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:56:54"
5812,55,94,201901,59,"CM",21740,1,52,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:56:55"
5813,55,94,201901,59,"CM",21740,1,54,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:57:02"
5814,55,94,201901,59,"CM",21740,1,51,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:57:05"
5815,55,94,201901,59,"CM",21740,1,56,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:57:08"
5816,55,94,201901,59,"CM",21740,1,50,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:57:13"
5817,55,94,201901,59,"CM",21740,3,13,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:58:03"
5818,55,94,201901,59,"CM",21740,3,13,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:58:06"
5819,55,94,201901,59,"CM",21740,3,12,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:58:09"
5820,55,94,201901,59,"CM",21740,3,12,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:58:10"
5821,55,94,201901,59,"CM",21740,3,12,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:58:12"
5822,55,94,201901,59,"CM",10220,2,44,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:58:52"
5823,55,94,201901,59,"CM",10220,2,52,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:59:01"
5824,55,94,201901,59,"CM",10220,2,45,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:59:05"
5825,55,94,201901,59,"CM",10220,2,47,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:59:08"
5826,55,94,201901,59,"CM",10220,2,43,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:59:11"
5827,55,94,201901,59,"CM",10220,2,45,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:59:14"
5828,55,94,201901,59,"CM",10220,2,41,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:59:17"
5829,55,94,201901,59,"CM",10220,2,56,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:59:22"
5830,55,94,201901,59,"CM",10220,2,47,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:59:28"
5831,55,94,201901,59,"CM",10220,1,39,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:59:43"
5832,55,94,201901,59,"CM",10220,1,41,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:59:45"
5833,55,94,201901,59,"CM",10220,1,39,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:59:48"
5834,55,94,201901,59,"CM",10220,1,41,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:59:50"
5835,55,94,201901,59,"CM",10220,1,38,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:59:53"
5836,55,94,201901,59,"CM",10220,1,39,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 10:59:55"
5837,55,94,201901,59,"CM",10220,1,32,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 11:00:01"
5838,55,94,201901,59,"CM",10220,1,39,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 11:00:05"
5839,55,94,201901,59,"CM",10220,1,40,1,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 11:00:08"
5841,55,94,201901,59,"CM",471,2,101,5,"HARDWARE DEVICE","860c5d80c23a1d4f","06/15/2019 11:02:15"
