HAUL,POLY_SPECIES_CODE,SEX,LENGTH,LENGTH_TYPE,POLY_NUMBER,TABLET_ID
40,40,2,510,1,10,VESTERAALEN 4
40,40,2,480,1,10,VESTERAALEN 4
40,40,2,550,1,10,VESTERAALEN 4
40,40,2,480,1,10,VESTERAALEN 4
40,40,2,520,1,10,VESTERAALEN 4
40,40,2,470,1,10,VESTERAALEN 4
40,40,2,540,1,10,VESTERAALEN 4
40,40,2,630,1,10,VESTERAALEN 4
40,40,2,490,1,10,VESTERAALEN 4
40,40,2,150,1,10,VESTERAALEN 4
