HAUL,POLY_SPECIES_CODE,SEX,LENGTH,LENGTH_TYPE,POLY_NUMBER,TABLET_ID
8,40,1,560,1,10,S02
8,40,2,510,1,10,S02
8,40,2,650,1,10,S02
8,65,1,430,1,10,S02
8,8,1,380,1,10,S02
8,8,2,360,1,10,S02
8,14,2,230,1,10,S02
8,26,2,280,1,10,S02
8,26,2,240,1,10,S02
8,26,2,210,1,10,S02
8,26,2,270,1,10,S02
8,26,2,420,1,10,S02
8,26,2,270,1,10,S02
8,26,2,260,1,10,S02
8,26,2,250,1,10,S02
8,18,2,470,1,10,S02
8,18,2,410,1,10,S02
8,18,2,380,1,10,S02
8,18,1,260,1,10,S02
8,18,1,430,1,10,S02
8,18,1,320,1,10,S02
8,18,1,410,1,10,S02
8,18,1,360,1,10,S02
8,18,1,400,1,10,S02
8,18,1,320,1,10,S02
8,18,1,380,1,10,S02
8,18,1,340,1,10,S02
8,18,1,420,1,10,S02
8,18,1,400,1,10,S02
8,18,1,400,1,10,S02
8,18,1,350,1,10,S02
8,18,1,410,1,10,S02
8,18,1,360,1,10,S02
8,18,1,420,1,10,S02
8,18,1,390,1,10,S02
8,18,1,260,1,10,S02
8,18,1,340,1,10,S02
8,18,1,370,1,10,S02
8,18,1,290,1,10,S02
8,18,1,280,1,10,S02
8,18,1,270,1,10,S02
8,18,1,340,1,10,S02
8,18,1,420,1,10,S02
8,18,1,260,1,10,S02
8,18,1,280,1,10,S02
8,18,1,410,1,10,S02
8,18,1,370,1,10,S02
8,18,1,440,1,10,S02
8,18,1,370,1,10,S02
8,18,1,400,1,10,S02
8,18,1,410,1,10,S02
8,18,1,270,1,10,S02
8,18,1,430,1,10,S02
8,18,1,330,1,10,S02
8,18,1,400,1,10,S02
8,18,1,410,1,10,S02
8,18,1,360,1,10,S02
8,18,1,340,1,10,S02
8,18,1,270,1,10,S02
8,18,1,270,1,10,S02
8,18,1,400,1,10,S02
8,18,1,280,1,10,S02
8,18,1,290,1,10,S02
8,18,1,220,1,10,S02
8,18,1,300,1,10,S02
8,18,1,400,1,10,S02
8,18,1,250,1,10,S02
8,18,1,440,1,10,S02
8,18,1,310,1,10,S02
8,27,2,320,1,10,S02
8,31,1,500,1,10,S02
8,31,1,480,1,10,S02
8,31,1,470,1,10,S02
8,31,1,500,1,10,S02
8,31,1,470,1,10,S02
8,31,1,530,1,10,S02
8,31,2,490,1,10,S02
8,31,2,530,1,10,S02
8,31,2,470,1,10,S02
8,31,2,450,1,10,S02
8,31,2,440,1,10,S02
8,31,2,530,1,10,S02
8,31,2,540,1,10,S02
8,31,2,520,1,10,S02
8,31,2,490,1,10,S02
8,31,2,490,1,10,S02
8,31,2,480,1,10,S02
8,31,2,510,1,10,S02
8,91,3,190,12,10,S02
8,91,3,160,12,10,S02
8,91,3,160,12,10,S02
8,91,3,160,12,10,S02
8,91,3,180,12,10,S02
8,91,3,270,12,10,S02
8,91,3,140,12,10,S02
8,91,3,190,12,10,S02
8,91,3,210,12,10,S02
8,91,3,160,12,10,S02
8,91,3,170,12,10,S02
8,91,3,180,12,10,S02
8,91,3,190,12,10,S02
8,91,3,160,12,10,S02
8,91,3,170,12,10,S02
8,91,3,150,12,10,S02
8,91,3,170,12,10,S02
8,91,3,160,12,10,S02
8,91,3,180,12,10,S02
8,91,3,170,12,10,S02
8,91,3,150,12,10,S02
8,55,3,270,1,10,S02
8,55,3,250,1,10,S02
8,55,3,240,1,10,S02
8,55,3,230,1,10,S02
8,55,3,260,1,10,S02
8,55,3,340,1,10,S02
8,55,3,260,1,10,S02
8,55,3,260,1,10,S02
